-747.44,-552.2,-1066.2,-365.2,-310.84,-613.79,-684.68,-692.06,-851.38,-766.44,-42.737,-747.58,-73.157,-930.55,-736.64,-883.29,-164.25,-737.07,-503.78,-697.84,-1021.4,-335.31,-344.45,-945.81,-148.73,-772.49,-1002.5,-951.43,-857.26,-507.67,-701.98,-183.7,-346.81,-643.91,-926,-532.16,-571.57,-877.16,-52.147,-973,-628.24,-444.23,-445.21,-546.03,-131.31
-768.59,-39.6,-654.96,-564.89,-522.78,-916.56,-404.4,-464.8,-295.85,-344.95,-801.32,-531.64,-783.83,-408.48,-398.21,-886.45,-808.56,-490.32,-768.07,-458.09,-874.28,-1005.9,-827.54,-557.6,-291.13,-947.86,-49.183,-667.93,-238.48,-766.73,-293.9,-422.4,-234.07,-874.57,-342.36,-57.866,-387.39,-271.48,-967.38,-173,-157.06,-100.77,-521.51,-613.77,-183.63
-98.32,-133.1,-1023.2,-868.16,-680.37,-915.53,-377.38,-978.96,-466.13,-1022.3,-904.96,-546.03,-946.86,-716.93,-698.21,-1002.5,-563.76,-911.8,-337.65,-920.47,-842.53,-622.1,-920.31,-78.905,-140.29,-541.17,-898.91,-701.22,-337.23,-572.44,-939.85,-194.7,-906.21,-890.58,-639.07,-556.96,-497.5,-989.24,-67.046,-93.315,-932.74,-818.54,-197.52,-775.28,-343.77
-1028.7,-940.5,-569.07,-728.27,-674.94,-323.43,-316.32,-603.62,-835.41,-588.2,-978.68,-550.15,-241.42,-677.33,-402.48,-726.05,-900.75,-604.69,-285.87,-311.46,-316.48,-66.846,-173.83,-408.2,-7.3837,-706.86,-514.86,-645.38,-840.45,-1011.2,-497.94,-168.3,-674.29,-888.45,-76.08,-828.73,-959.96,-957.37,-848.19,-524.24,-913.5,-851.44,-227.83,-836.76,-370.46
-385.88,-686.4,-289.9,-617.22,-270.63,-169.47,-297.3,-324.95,-23.413,-376.41,-656.01,-785.63,-58.526,-783.62,-1040.9,-397.85,-29.672,-293.34,-405.61,-404.58,-213.81,-887.33,-117.31,-775.38,-857.56,-625.09,-567.18,-277.05,-509.52,-697.79,-374.25,-371.8,-621.68,-687.69,-1011.9,-700.59,-593.59,-400.02,-799.23,-885.97,-50.216,-775.35,-1013.8,-509.56,-1016.4
-228.36,-1040.6,-842.86,-747.49,-839.06,-741.93,-20.02,-501.82,-810.94,-700.39,-91.885,-937.82,-212.16,-822.18,-978.99,-155.13,-48.747,-634.34,-93.852,-346.78,-41.28,-842.04,-999.23,-981.58,-158.22,-401.31,-61.741,-883.78,-859.36,-303.98,-775.99,-723.8,-455.25,-637.5,-561.91,-783.26,-770.77,-951.2,-88.33,-426.73,-832.3,-13.368,-96.15,-184.44,-765.47
-703.04,-55,-455.25,-649.25,-803.19,-794.63,-693.69,-895.67,-413.98,-854.52,-365.4,-55.529,-286.36,-570,-120.64,-360.91,-333.81,-339.94,-809.07,-253.66,-978.01,-739.62,-764.62,-640.71,-811.15,-359.35,-298.24,-511.15,-227.97,-243.39,-765.42,-884.4,-55.833,-214.64,-46.735,-263.5,-516.52,-23.651,-954.61,-115.33,-72.653,-644.75,-823.54,-863.86,-860.48
-574.06,-5.5,-248.03,-904.47,-609.73,-815.29,-262.26,-1017,-524.66,-517.95,-336.55,-187.15,-534.05,-369.93,-481.49,-363.02,-541.51,-790.02,-995.69,-320.02,-711.28,-814.01,-687.84,-905.83,-308,-1067.3,-992.04,-308.19,-235.33,-242.35,-260.07,-876.7,-194.34,-44.85,-1046.6,-644.79,-260.26,-281.76,-1060,-677.32,-307.71,-251.94,-534.05,-352.21,-501.77
-101.49,-723.8,-592.69,-694.1,-221.72,-319.3,-450.45,-624.19,-973.76,-488.6,-933.81,-1008.8,-1021.1,-546.03,-1049.4,-655.34,-113.39,-337.82,-293.42,-333.94,-1033,-541.24,-986.43,-122.04,-557.99,-390.55,-352.66,-836.53,-756.41,-911.93,-263.24,-152.9,-337.14,-210.37,-1004.3,-397.83,-474.47,-282.79,-184.11,-275.75,-930.6,-319.81,-279.04,-1000.4,-318.14
-795.02,-1076.9,-391.9,-258.42,-595.6,-1009.6,-15.015,-410.3,-757.73,-320.84,-198.73,-385.62,-824.59,-466.84,-151.6,-443.23,-602.97,-984.87,-557.72,-353.2,-433.96,-550.94,-1047.2,-37.875,-697.23,-813.38,-590.2,-5.3692,-291.01,-196.38,-229.41,-170.5,-252.32,-385.49,-657.55,-506.33,-323.32,-866.87,-450.17,-580.86,-119.66,-651.95,-405.5,-517.9,-739.84
